ID	E_pub	dE_pub	E_calc	dE_calc	DistPlateBoundary
1	57	13	86.605263	11.496849	320624
2	71	17	101.299202	13.524343	320624
3	59	13	80.729782	9.940001	320624
4	30	7	39.985962	4.309981	320624
5	42	9	61.778698	9.127951	320624
6	42	9	55.75386	8.100312	320624
7	49	10	65.294594	7.673621	320624
8	64	12	77.676842	10.370987	10000
9	66	13	77.676842	10.925535	10000
10	102	25	121.626953	19.761893	10000
24	31	8	22.121683	2.660819	202485
25	93.5	15.3	114.751671	17.543897	210950
26	111.7	15.6	177.741241	28.310284	210950
27	88.2	11.7	128.607697	18.623323	210950
28	105.2	15	172.781433	28.966969	210950
29	28.2	5.1	33.568684	4.00386	270000
30	20.7	2.7	22.181389	2.601329	280000
107	121	16	167.981537	18.877602	733485
108	64	9	91.592934	10.19328	733485
109	50	7	72.358925	8.208537	733485
110	56	8	80.275146	9.845374	733485
111	33	4	48.684628	5.503375	733485
112	45	6	65.196312	7.580055	733485
113	36	5	53.987011	6.278015	733757
114	33	4	49.613464	5.449406	733757
115	30	4	45.060917	5.151356	733757
116	33	5	50.251148	5.897648	733757
117	30	4	44.851357	5.031632	733757
118	34	5	51.076511	5.672871	733757
119	37	5	55.969627	6.172945	733757
120	30	4	45.052574	5.334605	733757
121	20	3	32.977253	3.636245	733757
122	32	4	50.276913	5.420992	733757
123	28	4	44.724888	4.984161	733757
124	98	13	139.872208	16.944554	716938
125	97	13	139.809174	16.462676	716938
126	75	10	106.775826	11.808975	716938
127	89	12	126.011673	14.225464	716938
128	84	11	117.698013	13.184111	726154
129	85	11	122.16774	13.796978	716938
130	80	11	113.27626	13.023856	726154
131	21	3	33.324074	3.661368	743303
132	21	3	33.661976	3.789473	733757
133	32	4	47.153614	5.146735	743303
134	40	6	62.143799	6.67254	698928
135	34	4	50.658287	5.539464	686222
136	93	12	138.664413	15.389264	718401
137	76	10	117.526138	13.743857	718401
138	97	13	136.266388	16.157085	660984
139	0	0	41.697498	5.38668	241868
140	0	0	32.785591	4.091116	241868
141	0	0	42.92944	5.676957	241868
142	0	0	39.068718	5.256178	241868
143	0	0	47.08147	8.128221	241868
144	0	0	42.511192	6.505579	241868
145	0	0	38.963326	5.631562	243311
146	0	0	33.073315	4.542418	243311
147	0	0	29.610853	3.423003	241868
148	0	0	26.04113	3.124357	241868
149	0	0	31.975319	4.003574	241868
150	0	0	32.224964	3.746789	241868
151	0	0	33.803352	4.306553	241868
152	0	0	32.924007	4.560112	241868
153	0	0	28.003136	3.350455	241868
154	0	0	24.599491	2.989392	241868
155	0	0	37.416626	4.664546	243311
156	0	0	34.34082	3.838875	243311
157	0	0	36.760658	4.331417	243311
158	0	0	36.988026	4.423313	241868
159	0	0	36.338905	5.057442	241868
160	0	0	32.593552	3.736631	241868
161	0	0	26.931187	3.170106	253180
162	0	0	24.520763	2.834268	253180
163	0	0	22.842415	2.579739	253180
164	0	0	29.435091	3.494342	253180
165	0	0	38.929081	4.786668	243311
166	0	0	34.438435	3.996001	243311
167	0	0	54.917889	6.758481	243311
168	0	0	30.482252	3.410539	253180
169	0	0	29.384377	3.436354	253180
170	0	0	23.454075	2.832779	253180
171	0	0	21.663584	2.337331	253180
172	0	0	30.026976	4.216075	253180
173	0	0	28.889133	3.459576	253180
174	0	0	22.617115	2.772535	254951
175	19.3	2.5	24.416599	2.600682	2938860
176	22.7	2.9	26.959562	2.938677	2947710
177	16.9	2.2	20.067968	2.169111	2947710
178	23.7	3	28.210861	3.109749	2947710
179	25	3.2	29.606384	3.266933	2947710
180	20.4	2.6	24.047674	2.635421	2947710
181	27.2	3.5	32.803616	3.516174	2947710
182	27.4	3.5	32.881718	3.579125	2947710
183	24.6	3.1	29.260767	3.214477	2934210
184	19.3	2.4	22.485264	2.431269	2934210
185	24.8	3.2	29.667032	3.301049	2934210
186	24.7	3.2	33.823269	3.739742	2929590
187	0	0	33.557468	3.54683	2929590
188	0	0	55.098785	5.812872	2929590
189	28	3.6	30.111347	3.315975	2929590
190	0	0	30.435848	3.36177	2929590
191	0	0	34.093143	3.863568	2929590
192	0	0	47.883465	5.153175	2929590
193	30.1	3.8	36.544281	4.034702	2934210
194	23.3	3	24.148918	2.618068	2934210
195	35.1	4.5	44.563412	4.852246	2934210
196	26.2	3.3	26.846708	2.9746	2934210
197	20.2	2.6	23.789116	2.626671	2925350
198	30.5	3.9	36.681007	4.013462	2925350
199	0	0	36.681007	4.008782	2925350
200	0	0	33.307686	3.524291	2925350
201	33.7	4.3	41.028069	4.434378	2952370
202	33	4.2	39.826355	4.555117	2952370
203	36.9	4.7	45.588409	5.114568	2952370
204	31.8	4	38.860195	4.304497	2934710
205	24.8	3.1	30.281397	3.340168	2903530
206	22	2.8	27.119936	2.852328	2903530
207	31	3.9	37.52108	4.110384	2921180
208	21.6	2.7	25.941896	2.829028	2920720
209	14.2	1.8	17.333237	1.900342	2881180
210	17.8	2.4	21.864511	2.434565	2876470
211	19.3	2.5	23.625641	2.671437	2880640
212	19.5	2.5	23.083019	2.562874	2911860
213	19.3	2.5	22.989962	2.55043	2961220
214	23.3	3	29.885607	3.393422	2934210
215	19.8	2.5	23.3594	2.497853	2911860
216	21.1	2.7	25.291615	2.793069	2894150
217	17.4	2.2	22.464201	2.488997	2894150
218	33.8	4.3	39.631477	4.339205	2916500
219	0	0	44.282238	4.835568	2916500
220	0	0	62.355789	6.793723	2916500
221	0	0	71.189102	7.73182	2916500
222	49.6	6.3	60.399666	6.662304	2916500
223	0	0	53.035725	5.978213	2916500
224	0	0	73.48172	8.243128	2916500
225	0	0	74.518272	8.558754	2916500
226	33.9	4.3	40.961334	4.325154	2916500
227	25.7	3.3	30.878544	3.408069	2916500
228	23.9	3.1	29.034628	3.289054	2912350
229	0	0	37.18	4.136041	2912350
230	0	0	36.389053	4.072582	2912350
231	0	0	54.83725	6.017837	2912350
232	30.7	3.9	68.996529	7.52345	2912350
291	49	6	53.057487	5.814117	953415
292	37	5	40.419109	4.371814	957079
293	16	2	17.230896	1.802951	957079
294	69	8	75.384789	8.601539	957079
295	93	11	101.532692	11.263483	955667
296	74	9	80.219353	8.816696	955667
297	112	13	123.749878	13.907508	955667
298	58	7	63.319527	6.907765	941116
299	147	18	160.485428	19.424363	941116
300	49	6	53.365967	6.157741	941116
301	52	6	56.263981	6.310291	884590
302	59	7	63.967819	7.13085	884590
303	7	1	7.588997	0.85497	864697
304	131	16	143.941086	16.305873	967729
305	122	15	134.550735	14.764272	973293
306	124	15	136.490189	15.90364	973293
307	123	15	134.160141	15.129591	965194
308	161	19	178.338486	20.652696	966282
309	239	29	263.160645	31.471527	989950
310	150	18	163.899323	18.314183	991413
311	366	43	407.080658	48.397243	991413
312	118	14	129.573334	14.614065	966282
313	152	18	167.782562	18.402448	966282
314	75	9	82.150551	8.812186	956347
315	196	23	218.210312	24.245166	968762
316	254	30	279.605408	33.168006	968762
317	167	20	185.175842	21.783147	958854
318	65	8	71.055901	7.986035	947629
319	73	9	79.938583	8.795311	947629
320	50	6	54.038086	5.823902	936483
321	40	5	42.989182	4.938607	936483
322	61	7	66.45858	7.590673	936483
323	21	3	22.033152	2.420941	948314
324	40	5	42.915718	4.85367	904489
325	32	4	34.241032	3.906356	904489
326	30	4	31.768797	3.662983	904489
327	102	12	111.461708	12.159488	885664
328	107	20	161.248352	19.499353	10000
329	68	13	109.841362	14.975766	10000
330	101	19	150.236496	18.343682	10000
331	72	14	104.291748	12.74323	10000
332	103	20	153.236206	18.91351	10000
333	80	17	118.168777	17.856088	10000
334	438	88	640.810486	85.06537	60000
335	184	40	273.951385	39.972037	70000
